Case Number,Address,ZIP Code,Case Opened,Kiva PIN,Status of Case,Latitude,Longitude,Location
1226669,1104 Ewing Ave,64126,08/20/2019,5246,Pre-Bid Process Ongoing,39.098316,-94.503382,"1104 Ewing Ave
Kansas City, MO 64126
(39.098316, -94.503382)"
1180446,5412 E 17th St,64127,06/21/2017,9421,Pre-Bid Process Ongoing,39.090801,-94.518413,"5412 E 17th St
Kansas City, MO 64127
(39.090801, -94.518413)"
1057086,526 BENTON BLVD,64124,02/06/2012,41298,Repair Case w/Enforcement,39.106787,-94.545014,"526 BENTON BLVD
Kansas City, MO 64124
(39.106787, -94.545014)"
1239358,3810 E 68th St,64132,05/28/2020,2052,Ongoing Case,39.003083,-94.541961,"3810 E 68th St
Kansas City, MO 64132
(39.003083, -94.541961)"
1184574,2304 Kensington Ave,64127,08/22/2017,19318,Repair Case w/Enforcement,39.083427,-94.531961,"2304 Kensington Ave
Kansas City, MO 64127
(39.083427, -94.531961)"
1213181,518 Kensington,64124,02/01/2019,44339,Rehab By Owner In Progress,39.106673,-94.531011,"518 Kensington
Kansas City, MO 64124
(39.106673, -94.531011)"
1175712,5009 Bellefontaine Ave,64130,04/17/2017,35371,In Bid Process,39.034996,-94.548543,"5009 Bellefontaine Ave
Kansas City, MO 64130
(39.034996, -94.548543)"
1237706,2847 Van Brunt Blvd,64128,04/13/2020,21648,Ongoing Case,39.072911,-94.520107,"2847 Van Brunt Blvd
Kansas City, MO 64128
(39.072911, -94.520107)"
1221848,805 N Montgall Ave,64120,06/19/2019,38822,On Hold,39.122677,-94.548779,"805 N Montgall Ave
Kansas City, MO 64120
(39.122677, -94.548779)"
1233125,3524 Garner Ave,64124,12/23/2019,42000,Notice to Proceed Issued (Demolition),39.108884,-94.539109,"3524 Garner Ave
Kansas City, MO 64124
(39.108884, -94.539109)"
1193913,3304 E 60th St,64130,03/12/2018,895,Rehab By Owner In Progress,39.017601,-94.547447,"3304 E 60th St
Kansas City, MO 64130
(39.017601, -94.547447)"
1233107,1210 Hardesty Ave,64127,12/20/2019,9137,Pre-Bid Process Ongoing,39.097258,-94.519492,"1210 Hardesty Ave
Kansas City, MO 64127
(39.097258, -94.519492)"
1227371,1816 Vine St,64108,08/28/2019,245571,On Hold,39.090552,-94.563543,"1816 Vine St
Kansas City, MO 64108
(39.090552, -94.563543)"
1202110,3816-18 Fuller,64129,07/02/2018,32619,Notice to Proceed Issued (Demolition),39.055134,-94.508973,"3816 18
Fuller Kansas City, MO 64129
(39.055134, -94.508973)"
1241584,5823 Prospect Ave,64130,06/26/2020,36652,Ongoing Case,39.020106,-94.555247,"5823 Prospect Ave
Kansas City, MO 64130
(39.020106, -94.555247)"
1184433,3626 Michigan Ave,64109,08/21/2017,133961,Rehab By Owner In Progress,39.060088,-94.561782,"3626 Michigan Ave
Kansas City, MO 64109
(39.060088, -94.561782)"
1246872,1812 Bristol Ave,64126,10/05/2020,20844,Ongoing Case,39.087438,-94.500515,"1812 Bristol Ave
Kansas City, MO 64126
(39.087438, -94.500515)"
1185746,628 Ewing Ave,64125,09/11/2017,5058,Notice to Proceed Issued (Demolition),39.103627,-94.503154,"628 Ewing Ave
Kansas City, MO 64125
(39.103627, -94.503154)"
1235158,814 Park Ave,64124,02/14/2020,11718,Pre-Bid Process Ongoing,39.103195,-94.554987,"814 Park Ave
Kansas City, MO 64124
(39.103195, -94.554987)"
1231597,3804 Bales Ave,64128,11/12/2019,28015,Notice to Proceed Issued (Demolition),39.056594,-94.543471,"3804 Bales Ave
Kansas City, MO 64128
(39.056594, -94.543471)"
1177890,1505 Westport Rd,64111,05/16/2017,141082,Repair Case w/Enforcement,39.049857,-94.603976,"1505 Westport Rd
Kansas City, MO 64111
(39.049857, -94.603976)"
1238443,2838 Bales Ave,64128,05/07/2020,23843,Ongoing Case,39.073517,-94.542628,"2838 Bales Ave
Kansas City, MO 64128
(39.073517, -94.542628)"
1211023,5214 E 28th St,64128,12/04/2018,21818,Ongoing Case,39.074518,-94.522292,"5214 E 28th St
Kansas City, MO 64128
(39.074518, -94.522292)"
1095676,2026 INDIANA AVE,64127,07/05/2013,15812,Notice to Proceed Issued (Demolition),39.086804,-94.54312,"2026 INDIANA AVE
Kansas City, MO 64127
(39.086804, -94.54312)"
1063534,1826 Forest Ave,64108,06/05/2012,13345,On Hold,39.090626,-94.569386,"1826 Forest Ave
Kansas City, MO 64108
(39.090626, -94.569386)"
