Service Order Number,Date Opened,Structure Status,Address,City,State,Zip Code,Neighborhood,Latitude,Longitude,KivaPIN,Property Owner,Order to Demolish Or Repair Sent,Project Phase,Structure Type,Structure Rating,Mapped Location
1149487,12/03/2015,Monitoring Owner Compliance,1115 N Bellefontaine Ave,KANSAS CITY,MO,,,,,38588,Private,,,House,Repair/Receivership,"1115 N Bellefontaine Ave
(39.128612, -94.544624)"
1116561,08/18/2014,Downgraded/No Longer a DB,12504 E 54TH TER,KANSAS CITY,MO,64133,Fairway Hills,39.022486,-94.430896,63094,Private,,47/63 Strategic Area,House,Regular Demolition,"12504 E 54TH TER
KANSAS CITY 64133
(39.022486, -94.430896)"
1047899,03/24/2011,Closed (Owner Demolition),3008 CHERRY ST,KANSAS CITY,MO,64108,Longfellow,39.072134,-94.578005,127074,Private,,,Commercial Building,High Priority,"3008 CHERRY ST
KANSAS CITY 64108
(39.072134, -94.578005)"
1126409,01/25/2013,On Hold - LB Sold,2316 LAWNDALE AVE,KANSAS CITY,MO,64127,South Blue Valley,39.082228,-94.516835,20105,Private,,,House,High Priority,"2316 LAWNDALE AVE
KANSAS CITY 64127
(39.082228, -94.516835)"
1047271,01/10/2008,On Hold - LB Sold,4015 PROSPECT AVE,KANSAS CITY,MO,64130,Oak Park Southwest,39.052927,-94.553346,29826,Private,,,House,Repair/Receivership,"4015 PROSPECT AVE
KANSAS CITY 64130
(39.052927, -94.553346)"
1047680,03/01/2010,On Hold - LB Sold,3310 E 59TH ST,KANSAS CITY,MO,64130,North Town Fork Creek,39.019253,-94.54691,36797,Private,,,,High Priority,"3310 E 59TH ST
KANSAS CITY 64130
(39.019253, -94.54691)"
1166885,09/23/2016,On Hold - LB Sold,2910 E 29th St,KANSAS CITY,MO,64128,Santa Fe,39.072895,-94.548327,24727,Private,,,House,High Priority,"2910 E 29th St
KANSAS CITY 64128
(39.072895, -94.548327)"
1138453,06/22/2015,Monitoring Owner Compliance,3727 NE 35th St,KANSAS CITY,MO,64117,Cooley Highlands S,39.157813,-94.536097,78575,Private,,,House,Regular Demolition,"3727 NE 35th St
KANSAS CITY 64117
(39.157813, -94.536097)"
1095380,07/09/2013,On Hold - LB Sold,3938 Lawn Ave,KANSAS CITY,MO,64130,Vineyard,39.054351,-94.528896,31503,Private,,Dollar House (sold),,Repair/Receivership,"3938 Lawn Ave
KANSAS CITY 64130
(39.054351, -94.528896)"
1079562,10/22/2013,Closed (City Demolition),10527 PALMER AVE,KANSAS CITY,MO,64134,Hickman Mills South,38.932157,-94.499831,70694,Private,,,House,High Priority,"10527 PALMER AVE
KANSAS CITY 64134
(38.932157, -94.499831)"
1093945,06/21/2013,Monitoring Owner Compliance,5425 E 27th Ter,KANSAS CITY,MO,64128,South Blue Valley,39.075092,-94.519155,21507,Private,,,House,Repair/Receivership,"5425 E 27th Ter
KANSAS CITY 64128
(39.075092, -94.519155)"
1175741,04/17/2017,Closed (City Demolition),3010 E 31st St,KANSAS CITY,MO,64128,Santa Fe,39.069954,-94.547731,24781,Land Bank,,,House,High Priority,"3010 E 31st St
KANSAS CITY 64128
(39.069954, -94.547731)"
1154449,03/31/2016,Closed (City Demolition),4345 Bales Ave,KANSAS CITY,MO,64130,Oak Park Southeast,39.046262,-94.543346,33900,Land Bank,,Kissick Donated Demolition,,,"4345 Bales Ave
KANSAS CITY 64130
(39.046262, -94.543346)"
1048981,07/22/2010,Closed (City Demolition),3304 MERSINGTON AVE,KANSAS CITY,MO,64128,Palestine East,39.065473,-94.538449,26400,Land Bank,,Candidate for Deconstruction (was Dollar House List),,,"3304 MERSINGTON AVE
KANSAS CITY 64128
(39.065473, -94.538449)"
